user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"What are the differences and considerations between using the electroplating method and physical vapor deposition (PVD) for forming Fe-Ni alloy films on non-oriented electrical steel sheets, particularly regarding the composition ranges, film thickness, and resulting magnetic properties?","['<1-hop>\n\n[0020] The present inventors formed Fe-Ni alloy films having various compositions (Ni: 0% to 100%) on one surface of a non-oriented electrical steel sheet by an electroplating method in order to find the composition of the Fe-Ni alloy film suitable for improving a magnetic property. That is, one surface of a non-oriented electrical steel sheet was coated with Fe-Ni alloy films having different compositions. As the non-oriented electrical steel sheet, one containing C: 0.003%, Si: 2.1%, and Al: 0.3%, a balance of which being composed of Fe and inevitable impurities, and having a thickness of 0.35 mm was used. Further, thicknesses of the Fe-Ni alloy films were set to 0.3 Pm in any of the compositions. Then, a DC magnetizing property was measured. When measuring the DC magnetizing property, the maximum magnetic flux density Bm was set to 0.8 T, and a relationship between a Ni content and the relative permeability Ps was obtained. A result thereof is shown in Fig. 3.', '<2-hop>\n\n# [0038]\n\nNext, the Fe-Ni alloy film will be explained.\n\n# [0039]\n\nThe Fe-Ni alloy film is preferably composed of Fe: 10% to 40% and Ni: 90% to 60%, and more preferably composed of Fe: 15% to 30% and Ni: 85% to 70%. This is to obtain a good magnetic property in a low magnetic field. Incidentally, other metallic elements such as Mo may also be contained in the Fe-Ni alloy film. In the above case, the Fe-Ni alloy film preferably contains Fe: 10% to 40% and Ni: 90 to 60%, and more preferably contains Fe: 15% to 30% and Ni: 85% to 70%.\n\n# [0040]\n\nA method of forming the Fe-Ni alloy film on a surface of the non-oriented electrical steel sheet (base material) is not limited in particular. It is possible to form the Fe-Ni alloy film on a surface of the non-oriented electrical steel sheet by, for example, a dry coating method such as a PVD (physical vapor deposition) method and a CVD (chemical vapor deposition) method, and a wet coating method such as a plating method.\n\n# [0041]\n\nThe thickness of the Fe-Ni alloy films is set to 0.1 Pm or more. This is because the sufficient effects cannot be obtained when the thickness is less than 0.1 Pm as described above. On the other hand, when the thickness of the Fe-Ni alloy film exceeds 0.6 Pm, the effect of improving the relative permeability and the core loss is saturated, so that the thickness of the Fe-Ni alloy film is sufficiently 0.6 Pm or less. However, the thickness may also exceed 0.6 Pm for a reason such as operation stability.']","The electroplating method was used to form Fe-Ni alloy films with various compositions (Ni: 0% to 100%) on one surface of a non-oriented electrical steel sheet, allowing the investigation of the relationship between Ni content and relative permeability. The films had a uniform thickness of 0.3 Pm, and the magnetic properties were evaluated by measuring the DC magnetizing property at a maximum magnetic flux density of 0.8 T. In contrast, physical vapor deposition (PVD) is mentioned as an alternative dry coating method for forming Fe-Ni alloy films, alongside chemical vapor deposition (CVD) and wet methods like plating. The preferred composition range for the Fe-Ni alloy film is Fe: 10% to 40% and Ni: 90% to 60%, with an even more preferred range of Fe: 15% to 30% and Ni: 85% to 70%, to achieve good magnetic properties in a low magnetic field. The film thickness should be at least 0.1 Pm to ensure sufficient effects, but not exceed 0.6 Pm, as improvements in relative permeability and core loss saturate beyond this thickness. Both electroplating and PVD can be used to achieve these composition and thickness requirements, but the choice of method may depend on process considerations and desired film characteristics.",,,,multi_hop_abstract_query_synthesizer
"So like, how does the Al content in the non-oriented electrical steel sheet, which is 1.0%, relate to the way the Fe-Ni alloy films was put on both surfaces and then how they measured the relative permeability after putting the insulating film, like what’s the connection between the Al and the experiment steps and results?","['<1-hop>\n\n[0049] Next, there will be explained experiments for confirming the effects of the present invention conducted by the present inventors.\n\n# Experiment 1\n\n[0050] Each of Fe-Ni alloy films having compositions shown in Table 1 was formed on one surface or both surfaces of a non-oriented electrical steel sheet (base materials), which was after finish annealing and before an insulating film was formed thereof, by an electroplating method. That is, one surface or both surfaces of a non-oriented electrical steel sheet was/were coated with Fe-Ni alloy film(s). As the non-oriented electrical steel sheet, one containing C: 0.002%, Si: 3.2%, and Al: 1.0%, a balance of which being composed of Fe and inevitable impurities, and having a thickness of 0.35 mm was used. Further, thickness of the Fe-Ni alloy film was set to 0.5 Pm per one surface. Next, an insulating film was formed on an entire surface of the non-oriented electrical steel sheet. Then, the relative permeability Ps in the rolling direction at the maximum magnetic flux density Bm of 0.8 T was measured. A result thereof is shown in Table 1.\n\n[0051]']","The non-oriented electrical steel sheet used in the experiment had an Al content of 1.0%, along with C: 0.002% and Si: 3.2%, with the rest being Fe and impurities. This specific composition, including the Al, was chosen as the base material before any coating. Then, Fe-Ni alloy films were formed on one or both surfaces of this steel sheet by electroplating, after finish annealing and before applying the insulating film. After the Fe-Ni alloy films were applied, an insulating film was formed on the entire surface. Finally, the relative permeability Ps in the rolling direction at a maximum magnetic flux density Bm of 0.8 T was measured. So, the Al content is part of the base steel sheet’s composition, which is important for the experiment because it affects the properties of the steel before the Fe-Ni alloy films and insulating film are added, and then the permeability is measured to see the effects of all these steps together.",,,,multi_hop_specific_query_synthesizer
Whaat is the involvment of Nippon Steel Corporation in the developement of non-orientted electromagnatic steel shets as per the patent EP 2 390 376 A1?,"['EP 2 390 376 A1\n\n# EUROPEAN PATENT APPLICATION\n\npublished in accordance with Art. 153(4) EPC\n\n(43) Date of publication: 30.11.2011 Bulletin 2011/48\n\n(51) Int Cl.: C22C 38/00 (2006.01) C22C 38/14 (2006.01) C22C 38/60 (2006.01) H01F 1/16 (2006.01)\n\n(21) Application number: 10733454.2\n\n(86) International application number: PCT/JP2010/050520\n\n(22) Date of filing: 19.01.2010\n\n(87) International publication number: WO 2010/084847 (29.07.2010 Gazette 2010/30)\n\n(84) Designated Contracting States:\n\n| AT | BE | BG | CH | CY | CZ | DE | DK | EE | ES | FI | FR | GB | GR |\n| -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- | -- |\n| HR | HU | IE | IS | IT | LI | LT | LU | LV | MC | MK | MT | NL | NO |\n| PL | PT | RO | SE | SI | SK | SM | TR |    |    |    |    |    |    |\n\n(30) Priority: 26.01.2009 JP 2009014298\n\n(72) Inventor: KUBOTA, Takeshi\n\nTokyo 100-8071 (JP)\n\n(74) Representative: Vossius &#x26; Partner\n\nSiebertstrasse 4\n\n81675 München (DE)\n\n(71) Applicant: Nippon Steel Corporation\n\nTokyo 100-8071 (JP)\n\n# NON-ORIENTED ELECTROMAGNETIC STEEL SHEET\n\n(57) A non-oriented electrical steel sheet contains: C: not less than 0.003 mass% nor more than 0.05 mass%; N: not less than 0.001 mass% nor more than 0.01 mass%; and Si: not less than 2.8 mass% nor more than 3.5 mass%. The non-oriented electrical steel sheet further contains at least one kind selected from a group consisting of Ni: 4.0 mass% or less and Mn: 2.0 mass% or less, in a total amount of 0.5 mass% or more, and']","According to the context, Nippon Steel Corporation is listed as the applicant for the European patent application EP 2 390 376 A1, which relates to a non-oriented electrical steel sheet containing specified amounts of C, N, Si, and at least one kind selected from Ni and Mn.",Advanced Materials Engineer,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"How does the addition of aluminum (Al) within the specified chemical composition range affect the high-frequency core loss and processing characteristics of non-oriented electrical steel, and what are the implications of combining Al with other elements such as Cu, Sn, Sb, Cr, and rare earth metals?","['<1-hop>\n\n[0014] Al, similarly to Si, has an effect of reducing a core loss such as a high-frequency core loss by increasing the electrical resistance of the non-oriented electrical steel sheet to thereby reduce an eddy current loss. Thus, Al may also be contained as an aim to further reduce a high-frequency core loss. However, when an Al content exceeds 3.0 mass%, a reduction in a magnetic flux density, embrittlement, difficulty in performing processes of cold rolling and the like, and an increase in a material cost are caused. Thus, an upper limit of the Al content is set to 3.0 mass%. Further, when the Al content is less than 0.1 mass%, fine precipitation of A1N is remarkably exhibited to increase a core loss, and thus the Al content is preferably 0.1 mass% or more.', '<2-hop>\n\n- Cu: not less than 0.02 mass% nor more than 1.0 mass%;\n- Sn: not less than 0.02 mass% nor more than 0.5 mass%;\n- Sb: not less than 0.02 mass% nor more than 0.5 mass%;\n- Cr: not less than 0.02 mass% nor more than 3.0 mass%; and\n- rare earth metal: not less than 0.001 mass% nor more than 0.01 mass%.\n6. The non-oriented electrical steel sheet according to claim 2, further containing at least one kind selected from a group consisting of:\n- Cu: not less than 0.02 mass% nor more than 1.0 mass%;\n- Sn: not less than 0.02 mass% nor more than 0.5 mass%;\n- Sb: not less than 0.02 mass% nor more than 0.5 mass%;\n- Cr: not less than 0.02 mass% nor more than 3.0 mass%; and\n- rare earth metal: not less than 0.001 mass% nor more than 0.01 mass%.\n7. The non-oriented electrical steel sheet according to claim 3, further containing at least one kind selected from a group consisting of:\n- Cu: not less than 0.02 mass% nor more than 1.0 mass%;\n- Sn: not less than 0.02 mass% nor more than 0.5 mass%;']","The addition of aluminum (Al) to non-oriented electrical steel increases the electrical resistance, thereby reducing high-frequency core loss by minimizing eddy current loss. However, if the Al content exceeds 3.0 mass%, it leads to a reduction in magnetic flux density, embrittlement, difficulties in cold rolling, and increased material cost, so the upper limit is set at 3.0 mass%. Conversely, Al content below 0.1 mass% results in fine precipitation of AlN, which increases core loss; thus, the Al content should be at least 0.1 mass%. In combination with Al, the steel sheet may also contain elements such as Cu (0.02–1.0 mass%), Sn (0.02–0.5 mass%), Sb (0.02–0.5 mass%), Cr (0.02–3.0 mass%), and rare earth metals (0.001–0.01 mass%), as specified in the chemical composition. These elements are selected to further tailor the properties of the steel sheet for enhanced performance in electric motors and energy devices.",,,,multi_hop_abstract_query_synthesizer
"How does the value of RTi, as defined by the ratio [Ti]/(4x([C]+[N])), influence both the high-frequency core loss and tensile strength in non-oriented electrical steel sheets, and what do the comparative examples in Table 3 reveal about the effects of having an RTi value less than 1?","['<1-hop>\n\n[0010] A non-oriented electrical steel sheet according to the present invention contains: C: not less than 0.003 mass% nor more than 0.05 mass%; N: not less than 0.001 mass% nor more than 0.01 mass%; and Si: not less than 2.8 mass% nor more than 3.5 mass%. The non-oriented electrical steel sheet further contains at least one kind selected from a group consisting of Ni: 4.0 mass% or less and Mn: 2.0 mass% or less, in a total amount of 0.5 mass% or more, and further contains Ti, a value RTi being not less than 1 nor more than 10, the value RTi being expressed by [Ti]/(4x([C]+[N])) when a Ti content is expressed as [Ti] mass%, a C content is expressed as [C] mass%, and an N content is expressed as [N] mass%. An Al content is 3.0 mass% or less, a P content is 0.2 mass% or less, and a balance is composed of Fe and inevitable impurities.\n\n# ADVANTAGEOUS EFFECTS OF INVENTION\n\n[0011] According to the present invention, contents of Si, Mn, Ni, and so on and a value RTi are appropriate, and thus high tensile strength and a low high-frequency core loss can be obtained. Further, the contents of Si and so on are appropriate, and thus processes in a manufacturing process are easy to be performed, and addition of complex processes based on embrittlement and the like can also be avoided.\n\n# DESCRIPTION OF EMBODIMENTS', '<2-hop>\n\n[Table 3]\n\n\n\nEP 2 390 376 A1\n\n# Table 3\n\n| Sample No.           | W  |              |         | Magnetic properties |                 | Mechanical properties |          |        |\n| -------------------- | -- | ------------ | ------- | ------------------- | --------------- | --------------------- | -------- | ------ |\n|                      |    | 15/50 (W/kg) | B50 (T) |                     | W10/1000 (W/kg) | YP (MPa)              | TS (MPa) | EL (%) |\n| Comparative examples | 11 | 4.8          | 1.60    | 47                  | 688             | 775                   | 24       |        |\n|                      | 12 | 5.6          | 1.59    | 58                  | 703             | 785                   | 22       |        |\n|                      | 13 | 8.1          | 1.57    | 84                  | 871             | 922                   | 17       |        |\n|                      | 14 | 7.7          | 1.58    | 79                  | 902             | 953                   | 16       |        |\n\n[0036] As shown in Table 3, in Comparative examples No. 11 and 12, the high-frequency core loss W10/1000 was less than 100 W/kg, but the tensile strength was low, which was less than 900 MPa, because the value RTi was less than 1. Particularly, in Comparative example No. 11, Ti was not contained at all, and thus the tensile strength was remarkably low.']","The value of RTi, calculated as [Ti]/(4x([C]+[N])), plays a critical role in determining the properties of non-oriented electrical steel sheets. According to the invention, maintaining RTi within the range of not less than 1 nor more than 10 ensures both high tensile strength and low high-frequency core loss. Table 3 provides comparative examples where the RTi value is less than 1. In these cases (Comparative examples No. 11 and 12), although the high-frequency core loss (W10/1000) was less than 100 W/kg, the tensile strength was significantly lower, falling below 900 MPa. Specifically, in Comparative example No. 11, where Ti was not present (RTi = 0), the tensile strength was remarkably low. This demonstrates that an RTi value below 1 leads to insufficient tensile strength, even if core loss remains low, highlighting the necessity of maintaining RTi at or above 1 to achieve a desirable balance of mechanical and magnetic properties in the steel sheet.",,,,multi_hop_specific_query_synthesizer
wht is a EUROPEAN PATENT APPLICATION and wht infomation does it include for steel and electromagntic materals industy?,"['EP 2 439 302 A1\n# EUROPEAN PATENT APPLICATION\n\npublished in accordance with Art. 153(4) EPC\n\n(43) Date of publication: 11.04.2012 Bulletin 2012/15\n\n(51) Int Cl.: C22C 38/00 (2006.01) B22D 11/00 (2006.01) B22D 11/108 (2006.01) C22C 38/14 (2006.01) C22C 38/60 (2006.01) H01F 1/16 (2006.01)\n\n(21) Application number: 10783293.3\n\n(22) Date of filing: 25.05.2010\n\n(86) International application number: PCT/JP2010/058807\n\n(87) International publication number: WO 2010/140509 (09.12.2010 Gazette 2010/49)\n\n(84) Designated Contracting States: AL AT BE BG CH CY CZ DE DK EE ES FI FR GB GR HR HU IE IS IT LI LT LU LV MC MK MT NL NO PL PT RO SE SI SK SM TR\n\n(30) Priority: 03.06.2009 JP 2009134178 20.04.2010 JP 2010097274\n\n# Applicant:\n\nNippon Steel Corporation Tokyo 100-8071 (JP)\n\n# Inventors:\n\n- MIYAZAKI, Masafumi Tokyo 100-8071 (JP)\n- YAMAMURA, Hideaki Tokyo 100-8071 (JP)\n\n# Representative:\n\nVossius &#x26; Partner Siebertstrasse 4 81675 München (DE)\n\n# NON-ORIENTED MAGNETIC STEEL SHEET AND METHOD FOR PRODUCING SAME\n\n# Abstract:\n\nIn a non-oriented electrical steel sheet, Si: not less than 1.0 mass% nor more than 3.5 mass%, Al: not less than 0.1 mass% nor more than 3.0 mass%, Ti: not less than 0.001 mass% nor more than 0.01 mass%, Bi: not less than 0.001 mass% nor more than 0.01 mass%, and so on are contained. (1) expression described below is satisfied when a Ti content (mass%) is represented as [Ti] and a Bi content (mass%) is represented as [Bi].\n\n[Ti] ≥ 0.8 × [Bi] + 0.002 . (1)\n\n# FIG. 1']","A EUROPEAN PATENT APPLICATION, as shown in EP 2 439 302 A1, includes details such as the publication date (11.04.2012), application number (10783293.3), date of filing (25.05.2010), international application and publication numbers, designated contracting states, priority dates, applicant (Nippon Steel Corporation), inventors (Masafumi Miyazaki and Hideaki Yamamura), representative (Vossius & Partner), and the title and abstract of the invention. In this case, the invention relates to a non-oriented magnetic steel sheet and its production method, specifying the required contents of Si, Al, Ti, and Bi, and a formula involving Ti and Bi content.",Intellectual Property Manager,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"How do the patent claims referenced in the cited documents relate to the patent classification codes C22C38/00-38/60, B22D11/00, B22D11/108, and H01F1/16, and what does this indicate about the technological focus of the patents considered relevant for magnetic steel materials with enhanced high-frequency properties?","['<1-hop>\n\nElectronic data base consulted during the international search (name of data base and, where practicable, search terms used)\n\n# C. DOCUMENTS CONSIDERED TO BE RELEVANT\n\n| Category\\* | Citation of document, with indication, where appropriate, of the relevant passages                                                                                 | Relevant to claim No. |\n| ---------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------- |\n| A          | JP 2007-31755 A (Sumitomo Metal Industries, Ltd.), 08 February 2007 (08.02.2007), & WO 2007/007423 A1 & CN 101218362 A & KR 10-2008-0027913 A & US 2009/0202383 A1 | 1-22                  |\n| A          | JP 2002-252107 A (Sanyo Special Steel Co., Ltd.), 06 September 2002 (06.09.2002), (Family: none)                                                                   | 1-22                  |\n| A          | JP 2001-40456 A (Sanyo Special Steel Co., Ltd.), 13 February 2001 (13.02.2001), (Family: none)                                                                     | 1-22                  |\n\nFurther documents are listed in the continuation of Box C. See patent family annex.\n\n""A"" Special categories of cited documents:', '<2-hop>\n\nC22C38/00-38/60, B22D11/00, B22D11/108, H01F1/16\n\nDocumentation searched other than minimum documentation to the extent that such documents are included in the fields searched\n\n| Jitsuyo Shinan Koho       | 1922-1996 | Jitsuyo Shinan Toroku Koho | 1996-2010 |\n| ------------------------- | --------- | -------------------------- | --------- |\n| Kokai Jitsuvo Shinan Kohc | 1971-2010 | Toroku Jitsuyo Shinan Koho | 1994-2010 |\n\nElectronic data base consulted during the international search (name of data base and, where practicable, search terms used)\n\n# C. DOCUMENTS CONSIDERED TO BE RELEVANT']","The patent claims referenced in the cited documents, such as JP 2007-31755 A, JP 2002-252107 A, and JP 2001-40456 A, are considered relevant to claims 1-22, which likely pertain to innovations in magnetic steel materials. These claims are directly associated with the patent classification codes C22C38/00-38/60, B22D11/00, B22D11/108, and H01F1/16, as indicated in the documentation searched. The classification codes C22C38/00-38/60 relate to alloys and their compositions, B22D11/00 and B22D11/108 pertain to casting processes, and H01F1/16 concerns magnetic materials for electrical engineering applications. This connection demonstrates that the patents considered relevant are technologically focused on the development, composition, and processing of magnetic steel materials, specifically targeting enhanced high-frequency properties for use in electric motors and energy devices. The alignment between the claims and classification codes underscores the comprehensive approach taken in the patent search to cover both material innovation and manufacturing techniques.",,,,multi_hop_abstract_query_synthesizer
wut Si do in non-orientd steel and how Ti inclusions affct it?,"['<1-hop>\n\n[Ti] ≤ 0.8 x [Bi] + 0.002  (1)\n2. The non-oriented electrical steel sheet according to claim 1, wherein (2) expression described below is further satisfied.\n[Ti] ≤ 0.65 x [Bi] + 0.0015  (2)\n3. A non-oriented electrical steel sheet, containing:\n- Si: not less than 1.0 mass% nor more than 3.5 mass%;\n- Al: not less than 0.1 mass% nor more than 3.0 mass%;\n- Mn: not less than 0.1 mass% nor more than 2.0 mass%;\n- Ti: not less than 0.001 mass% nor more than 0.01 mass%;\n\n\n\n\n\nEP 2 439 302 A1\n\nBi: not less than 0.001 mass% nor more than 0.01 mass%; and at least one selected from a group consisting of REM and Ca, a C content being 0.01 mass% or less, a P content being 0.1 mass% or less, a S content being 0.01 mass% or less, a N content being 0.005 mass% or less, and a balance being composed of Fe and inevitable impurities, wherein when a Ti content (mass%) is represented as [Ti] and a Bi content (mass%) is represented as [Bi], (1) expression described below is satisfied, and when the S content (mass%) is represented as [S], a REM content (mass%) is represented as [REM], and a Ca content (mass%) is represented as [Ca], (3) expression described below is satisfied.\n\n[Ti] ≤ 0.8 × [Bi] + 0.002 … (1)\n\n[S] - (0.23 x [REM] + 0.4 x [Ca]) ≥ 0.005  (3)\n\n# 4.\n\nThe non-oriented electrical steel sheet according to claim 1, further containing at least one selected from a group consisting of Cu: 0.5 mass% or less and Cr: 20 mass% or less.\n\n# 5.', '<2-hop>\n\n[0005] In order to reduce the Ti inclusions, it is conceivable to use a raw material having a reduced Ti content as the raw material of Si and the raw material of Al, but such a raw material is very expensive. Further, it is also conceivable to reduce N, S, and C contents in the non-oriented electrical steel sheet. It is technically possible to reduce the S and C contents by a vacuum degassing treatment or the like, but a prolonged treatment is required and productivity reduces. Further, a large amount of N is contained in the atmosphere, so that it is difficult to avoid N mixing in molten steel. Even though sealing of a refining vessel is enhanced, the manufacturing cost is only increased, so that it is difficult to sufficiently suppress the mixture of N.\n\n# CITATION LIST\n\n# PATENT LITERATURE\n\n[0006]\n\n- Patent Literature 1: Japanese Laid-open Patent Publication No. 2007-016278\n- Patent Literature 2: Japanese Laid-open Patent Publication No. 2007-162062\n- Patent Literature 3: Japanese Laid-open Patent Publication No. 2008-132534\n- Patent Literature 4: Japanese Laid-open Patent Publication No. 09-316535\n- Patent Literature 5: Japanese Laid-open Patent Publication No. 08-188825\n\n# SUMMARY OF THE INVENTION\n\n# TECHNICAL PROBLEM\n\n[0007] An object of the present invention is to provide a non-oriented electrical steel sheet and a manufacturing method thereof capable of suppressing an increase in core loss due to production of Ti inclusions.\n\n\n\n\n\nEP 2 439 302 A1']","Si is includd in non-oriented electrical steel sheet at not less than 1.0 mass% nor more than 3.5 mass%. Ti inclusions can increse core loss, so the invention aims to suppress Ti inclusions to keep steel performance good.",,,,multi_hop_specific_query_synthesizer
"Who is SUEMUNE, Yoshihiro in the context of the hot-dipped steel material patent?","['EP 2 537 954 B1\n# EUROPEAN PATENT SPECIFICATION\n\n(45) Date of publication and mention of the grant of the patent: 01.11.2017 Bulletin 2017/44\n\n(51) Int Cl.: C23C 2/06 (2006.01) C23C 2/12 (2006.01) B05D 1/18 (2006.01)\n\n(21) Application number: 11744720.1\n\n(86) International application number: PCT/JP2011/053426\n\n(22) Date of filing: 17.02.2011\n\n(87) International publication number: WO 2011/102434 (25.08.2011 Gazette 2011/34)\n\n# Title\n\nHOT-DIPPED STEEL MATERIAL AND METHOD FOR PRODUCING SAME\n\nFEUERVEREDELTES STAHLMATERIAL UND VERFAHREN ZU SEINER HERSTELLUNG\n\nMATÉRIAU D’ACIER MÉTALLISÉ PAR IMMERSION, ET SON PROCÉDÉ DE PRODUCTION\n\n# Designated Contracting States\n\nAL AT BE BG CH CY CZ DE DK EE ES FI FR GB GR HR HU IE IS IT LI LT LU LV MC MK MT NL NO PL PT RO RS SE SI SK SM TR\n\n# Priority\n\n18.02.2010 JP 2010033502\n\n# Date of publication of application\n\n26.12.2012 Bulletin 2012/52\n\n# Proprietors\n\n- Nippon Steel &#x26; Sumikin Coated Sheet Corporation, Tokyo 1030023 (JP)\n- Nippon Steel &#x26; Sumitomo Metal Corporation, Tokyo 100-8071 (JP)\n- KANAI, Hiroshi, Tokyo 105-0021 (JP)\n- SHIMODA, Nobuyuki, Tokyo 100-8071 (JP)\n- MORIMOTO, Yasuhide, Tokyo 100-8071 (JP)\n- SUEMUNE, Yoshihiro, Tokyo 100-8071 (JP)\n- OOHASHI, Tooru, Tokyo 100-8071 (JP)\n\n# Representative\n\nAppelt, Christian W. Boehmert &#x26; Boehmert Anwaltspartnerschaft mbB Pettenkoferstrasse 22 80336 München (DE)\n\n# Inventors']","SUEMUNE, Yoshihiro is listed as one of the proprietors of the European patent EP 2 537 954 B1 for hot-dipped steel material and its method of production, with an address in Tokyo 100-8071 (JP).",Electric Motor Materials Engineer,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
"howw doo chromiun-contaning treatmnt agnts affect the evalution of the alloy layr in hot-dipped steeel, and wht methods are used to mesure the Cr concentrashun in the alloy layr?","['<1-hop>\n\n[0137] Examples of treatment agents containing chromium include treatment agents prepared by blending aqueous and water-dispersible acrylic resins, silane coupling agents having an amino group, and chromium ion sources such as ammonium chromate or ammonium dichromate. Water-dispersible acrylic resins can be obtained by copolymerizing carboxyl group-containing monomers such as acrylic acid with glycidyl group-containing monomers such as glycidyl acrylate. Chemical conversion treatment layers formed from these chemical conversion treatment agents have high levels of water resistance, corrosion resistance and alkaline resistance, and the formation of white rust and black rust on hot-dipped steels is inhibited by these chemical conversion treatment layers, resulting in improved corrosion resistance. In order to improve corrosion resistance and prevent coloring of the chemical conversion treatment layer, the content of chromium in the chemical conversion treatment layer is preferably within the range of 5 mg/m2 to 50 mg/m2.', '<2-hop>\n\n# (Evaluation of Alloy Layer)\n\n[0171] A sample was obtained by cutting the hot-dipped sheet steel. After embedding this sample in resin so as to expose the cut surface, the cut surface was polished to a mirrored finish. An alloy layer was present in this cut surface that was interposed at the interface between the plating layer and the sheet steel 1a. The thickness of this alloy layer was measured. Moreover, a portion of the polished surface measuring 10 mm × 20 mm was sampled from the polished surface with a focused ion beam device, and a microsample was prepared that was processed to a thickness of 50 nm or less. The Cr concentration in the alloy layer of this microsample was then analyzed using an energy-dispersive X-ray spectrometer (EDS) under conditions of an acceleration voltage of 200 kV and probe diameter of 1 nm.\n\n[0172] The ratio of the weight ratio of Cr in the alloy layer to the weight ratio of Cr in the plating layer was then calculated based on this result. The results are shown in Tables 5 to 8.']","Chromium-containing treatment agents, such as those prepared by blending aqueous and water-dispersible acrylic resins, silane coupling agents with amino groups, and chromium ion sources like ammonium chromate or ammonium dichromate, are used to form chemical conversion treatment layers on hot-dipped steels. These layers improve water resistance, corrosion resistance, and alkaline resistance, and inhibit the formation of white and black rust, with the chromium content in the chemical conversion treatment layer preferably being 5 mg/m2 to 50 mg/m2. For the evaluation of the alloy layer, a sample of the hot-dipped sheet steel is cut, embedded in resin, and polished to a mirrored finish to expose the cut surface. The alloy layer, located at the interface between the plating layer and the sheet steel, is then measured for thickness. A microsample is prepared from the polished surface using a focused ion beam device, processed to a thickness of 50 nm or less. The Cr concentration in the alloy layer is analyzed using an energy-dispersive X-ray spectrometer (EDS) with an acceleration voltage of 200 kV and a probe diameter of 1 nm. The ratio of the weight ratio of Cr in the alloy layer to that in the plating layer is then calculated based on these measurements.",,,,multi_hop_abstract_query_synthesizer
